ID,Location_Current,Sex,Status,Sire,Dam,Birth_Type,Event,Date,Location
1000,SKANAKV,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,01/Jan/1986 +/- 6 month,SKANAKV
,,,,,,,GO LTF,Undetermined,SKANAKV
1001,SKANAKV,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,01/Jan/1985 +/- 6 month,SKANAKV
,,,,,,,GO LTF,Undetermined,SKANAKV
1002,HONOLULU,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,Undetermined,USDI
,,,,,,,Transfer,10-Jun-68,HONOLULU
,,,,,,,Death,28-Apr-84,HONOLULU
1003,HONOLULU,Undetermined,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,5-Jan-70,HONOLULU
,,,,,,,Death,29-Jan-82,HONOLULU
1004,UNDETERMI,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,18-Oct-72,HONOLULU
,,,,,,,Death,Undetermined,UNDETERMI
1005,UNDETERMI,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,18-Oct-72,HONOLULU
,,,,,,,Death,Undetermined,UNDETERMI
1006,FITCH H,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Undetermined
,,,,,,,Wild Capture,01/Jan/1989 +/- 6 month,Undetermined
,,,,,,,Transfer,01/Jan/1989 +/- 6 month,PUBLIC
,,,,,,,Transfer,2-Jun-91,FITCH H
,,,,,,,Death,12-Jun-91,FITCH H
Studboo k ID,Current Location,Sex Type,,Sire,Dam,Birth Type,Event Type,Date,Location
1007,DUKE PRIM,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Mar/1983 +/- 6 month,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,1-Mar-86,SKANAKV
,,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,,Death,12-May-90,DUKE PRIM
1008,DUKE PRIM,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,"01/Mar/1983 +/-
6 month",Viet Nam / ~
,,,,,,,Wild Capture,10-Apr-83,Viet Nam / ~
,,,,,,,Transfer,1-Jun-84,BANGKOK
,,,,,,,Transfer,19-Dec-86,SKANAKV
,,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,,Death,15-Oct-98,DUKE PRIM
1009,DUKE PRIM,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,01/Jan/1984 +/- 6 month,Viet Nam / ~
,,,,,,,Transfer,1-Apr-86,SKANAKV
,,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,,Death,28-Sep-90,DUKE PRIM
1010,DUKE PRIM,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Jan/1984 +/- 6 month,Viet Nam / ~
,,,,,,,Wild Capture,"01/Jan/1984 +/-
6 month",Viet Nam / ~
,,,,,,,Transfer,1-Apr-86,SKANAKV
,,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,,Death,18-Apr-93,DUKE PRIM
1011,DUKE PRIM,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,"01/Jan/1984 +/-
6 month",Viet Nam / ~
,,,,,,,Wild Capture,"01/Jan/1984 +/-
6 month",Viet Nam / ~
,,,,,,,Transfer,24-Oct-85,SKANAKV
,,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,,Death,19-May-89,DUKE PRIM
1012,DUKE PRIM,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,"01/Jan/1984 +/-
6 month",Viet Nam / ~
,,,,,,,Wild Capture,01/Jan/1984 +/- 6 month,Viet Nam / ~
,,,,,,,Transfer,1-Apr-86,SKANAKV
,,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,,Death,21-Jul-98,DUKE PRIM
Studboo k ID,Current Location,Sex Type,,Sire,Dam,Birth Type,Event Type,Date,Location
1013,SKANAKV,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,01/Jan/1985 +/- 6 month,SKANAKV
,,,,,,,GO LTF,Undetermined,SKANAKV
1014,CRYSTAL G,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,Undetermined,SKANAKV
,,,,,,,Transfer,01/May/1987 +/- 1 day,CRYSTAL G
,,,,,,,Death,31/Dec/1995 +/- 15 day,CRYSTAL G
1015,CRYSTAL G,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,Undetermined,SKANAKV
,,,,,,,Transfer,01/May/1987 +/- 1 day,CRYSTAL G
,,,,,,,Death,7-Dec-94,CRYSTAL G
1016,SANDIEGOZ,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Undetermined
,,,,,,,Wild Capture,01/Jan/1985 +/- 6 month,Undetermined
,,,,,,,Transfer,01/Mar/1986 +/- 1 day,SKANAKV
,,,,,,,Transfer,5-Apr-87,SANDIEGOZ
,,,,,,,Death,22-Apr-93,SANDIEGOZ
1017,SANDIEGOZ,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Mar/1985 +/- 6 month,Undetermined
,,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,,Transfer,01/Mar/1986 +/- 1 day,SKANAKV
,,,,,,,Transfer,5-Apr-87,SANDIEGOZ
,,,,,,,Death,17-Jan-97,SANDIEGOZ
1018,SANDIEGOZ,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Mar/1985 +/- 6 month,Undetermined
,,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,,Transfer,"01/Mar/1986 +/-
1 day",SKANAKV
,,,,,,,Transfer,5-Apr-87,SANDIEGOZ
,,,,,,,Death,1-Nov-93,SANDIEGOZ
1019,SANDIEGOZ,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Undetermined
,,,,,,,Wild Capture,Undetermined,Undetermined
Studboo k ID,Current Location,Sex Type,,Sire,Dam,Birth Type,Event Type,Date,Location
,,,,,,,Transfer,01/Mar/1986 +/- 1 day,SKANAKV
,,,,,,,Transfer,5-Apr-87,SANDIEGOZ
,,,,,,,Death,2-Mar-95,SANDIEGOZ
1020,SANDIEGOZ,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Undetermined
,,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,,Transfer,"01/Mar/1986 +/-
1 day",SKANAKV
,,,,,,,Transfer,5-Apr-87,SANDIEGOZ
,,,,,,,Death,5-Dec-90,SANDIEGOZ
1021,SANDIEGOZ,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Undetermined
,,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,,Transfer,"01/Mar/1986 +/-
1 day",SKANAKV
,,,,,,,Transfer,5-Apr-87,SANDIEGOZ
,,,,,,,Death,8-Jul-99,SANDIEGOZ
1022,MINNESOTA,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,"01/Jan/1985 +/-
6 month",Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,1-Apr-86,SKANAKV
,,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,,Transfer,23-Jun-98,MINNESOTA
,,,,,,,Death,10-Apr-00,MINNESOTA
1023,DUKE PRIM,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Mar/1985 +/- 6 month,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,19-Dec-86,SKANAKV
,,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,,Death,31-May-96,DUKE PRIM
1024,CHICAGOBR,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,1-Mar-86,SKANAKV
,,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,,Transfer,12-Oct-88,CHICAGOBR
,,,,,,,Death,29-Jun-90,CHICAGOBR
1025,CINCINNAT,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,"01/Jan/1985 +/-
6 month",Viet Nam / ~
,,,,,,,Wild Capture,01/Jan/1985 +/- 6 month,Viet Nam / ~
Studboo k ID,Current Location,Sex Type,,Sire,Dam,Birth Type,Event Type,Date,Location
,,,,,,,Transfer,25-Sep-86,SKANAKV
,,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,,Death,26-May-97,CINCINNAT
1026,CINCINNAT,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,1-Mar-86,SKANAKV
,,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,,Death,15-Dec-90,CINCINNAT
1029,SKANAKV,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Jan/1983 +/- 6 month,Viet Nam / ~
